"Category";"GO_ID";"Description";"Gene_Ratio";"Bg_Ratio";"pvalue";"padj";"gene_ID";"gene_name";"count"
"BP";"GO:0042471";"ear morphogenesis";"30/1961";"131/18496";3,54809561794894e-05;0,0164879094248152;"3784/9423/2263/25861/51804/5595/2625/9368/5818/55084/5754/525/9132/6909/7849/51761/145258/26018/7545/7547/57822/116039/2299/10736/55636/286262/124590/3638/4646/9935";"KCNQ1/NTN1/FGFR2/WHRN/SIX4/MAPK3/GATA3/SLC9A3R1/NECTIN1/SOBP/PTK7/ATP6V1B1/KCNQ4/TBX2/PAX8/ATP8A2/GSC/LRIG1/ZIC1/ZIC3/GRHL3/OSR2/FOXI1/SIX2/CHD7/TPRN/USH1G/INSIG1/MYO6/MAFB";30
"BP";"GO:0072001";"renal system development";"60/1961";"336/18496";3,65033745154834e-05;0,0164879094248152;"9244/84062/11174/2263/4854/1739/7161/1312/5155/51804/4318/655/2294/2146/2737/2625/5754/7422/3280/2043/51107/4072/1958/6385/1948/7849/445/6569/5914/4853/23213/2028/80000/2719/84159/341640/2674/9955/1636/54361/28999/116039/5979/255743/153572/10736/9788/596/55871/5017/79191/2066/56998/9500/4070/2650/4311/55959/28514/2297";"CRLF1/DTNBP1/ADAMTS6/FGFR2/NOTCH3/DLG1/TP73/COMT/PDGFB/SIX4/MMP9/BMP7/FOXF1/EZH2/GLI3/GATA3/PTK7/VEGFA/HES1/EPHA4/APH1A/EPCAM/EGR1/SDC4/EFNB2/PAX8/ASS1/SLC34A1/RARA/NOTCH2/SULF1/ENPEP/GREB1L/GPC3/ARID5B/FREM2/GFRA1/HS3ST3A1/ACE/WNT4/KLF15/OSR2/RET/NPNT/IRX2/SIX2/MTSS1/BCL2/CBWD1/OVOL1/IRX3/ERBB4/CTNNBIP1/MAGED1/TACSTD2/GCNT1/MME/SULF2/DLL1/FOXD1";60
"BP";"GO:0072163";"mesonephric epithelium development";"25/1961";"101/18496";3,96957406616358e-05;0,0164879094248152;"9244/2263/1739/51804/655/2737/2625/7422/3280/4072/6385/7849/5914/80000/2719/9955/54361/5979/255743/10736/596/56998/9500/4070/2297";"CRLF1/FGFR2/DLG1/SIX4/BMP7/GLI3/GATA3/VEGFA/HES1/EPCAM/SDC4/PAX8/RARA/GREB1L/GPC3/HS3ST3A1/WNT4/RET/NPNT/SIX2/BCL2/CTNNBIP1/MAGED1/TACSTD2/FOXD1";25
"BP";"GO:0072164";"mesonephric tubule development";"25/1961";"101/18496";3,96957406616358e-05;0,0164879094248152;"9244/2263/1739/51804/655/2737/2625/7422/3280/4072/6385/7849/5914/80000/2719/9955/54361/5979/255743/10736/596/56998/9500/4070/2297";"CRLF1/FGFR2/DLG1/SIX4/BMP7/GLI3/GATA3/VEGFA/HES1/EPCAM/SDC4/PAX8/RARA/GREB1L/GPC3/HS3ST3A1/WNT4/RET/NPNT/SIX2/BCL2/CTNNBIP1/MAGED1/TACSTD2/FOXD1";25
"BP";"GO:0072006";"nephron development";"34/1961";"161/18496";6,52267631681414e-05;0,0252862418548495;"4854/1739/1312/5155/51804/655/2737/2625/7422/3280/1958/7849/4853/23213/2028/80000/2719/9955/54361/28999/5979/255743/153572/10736/9788/596/79191/2066/56998/9500/4070/55959/28514/2297";"NOTCH3/DLG1/COMT/PDGFB/SIX4/BMP7/GLI3/GATA3/VEGFA/HES1/EGR1/PAX8/NOTCH2/SULF1/ENPEP/GREB1L/GPC3/HS3ST3A1/WNT4/KLF15/RET/NPNT/IRX2/SIX2/MTSS1/BCL2/IRX3/ERBB4/CTNNBIP1/MAGED1/TACSTD2/SULF2/DLL1/FOXD1";34
"BP";"GO:0072073";"kidney epithelium development";"33/1961";"155/18496";7,01864126337151e-05;0,0255083743415658;"9244/2263/1739/51804/655/2737/2625/7422/3280/2043/4072/6385/1948/7849/5914/4853/80000/2719/9955/54361/28999/5979/255743/153572/10736/9788/596/79191/56998/9500/4070/28514/2297";"CRLF1/FGFR2/DLG1/SIX4/BMP7/GLI3/GATA3/VEGFA/HES1/EPHA4/EPCAM/SDC4/EFNB2/PAX8/RARA/NOTCH2/GREB1L/GPC3/HS3ST3A1/WNT4/KLF15/RET/NPNT/IRX2/SIX2/MTSS1/BCL2/IRX3/CTNNBIP1/MAGED1/TACSTD2/DLL1/FOXD1";33
"BP";"GO:0048839";"inner ear development";"40/1961";"205/18496";0,000100890793329058;0,0345105860710866;"3784/9423/2263/50508/25861/51804/54845/2737/2625/9368/5818/1027/55084/5754/3280/525/2043/9132/7043/6909/6385/7849/51761/4613/10541/26018/341640/7545/57822/9261/84059/2299/55636/286262/124590/3638/4646/28514/9935/1050";"KCNQ1/NTN1/FGFR2/NOX3/WHRN/SIX4/ESRP1/GLI3/GATA3/SLC9A3R1/NECTIN1/CDKN1B/SOBP/PTK7/HES1/ATP6V1B1/EPHA4/KCNQ4/TGFB3/TBX2/SDC4/PAX8/ATP8A2/MYCN/ANP32B/LRIG1/FREM2/ZIC1/GRHL3/MAPKAPK2/ADGRV1/FOXI1/CHD7/TPRN/USH1G/INSIG1/MYO6/DLL1/MAFB/CEBPA";40
"BP";"GO:0061333";"renal tubule morphogenesis";"21/1961";"83/18496";0,000114443130119877;0,0360874825409927;"1739/51804/2737/2625/7422/3280/7849/80000/2719/9955/54361/255743/153572/10736/9788/596/79191/56998/9500/4070/2297";"DLG1/SIX4/GLI3/GATA3/VEGFA/HES1/PAX8/GREB1L/GPC3/HS3ST3A1/WNT4/NPNT/IRX2/SIX2/MTSS1/BCL2/IRX3/CTNNBIP1/MAGED1/TACSTD2/FOXD1";21
"BP";"GO:0048754";"branching morphogenesis of an epithelial tube";"33/1961";"159/18496";0,000117912668663605;0,0360874825409927;"2263/1739/2099/51804/655/80004/2294/2737/374/4192/7421/6722/7422/10765/4488/6909/7849/3169/4613/51176/80000/2719/9955/54361/255743/9723/10736/596/56998/9500/4070/441478/2297";"FGFR2/DLG1/ESR1/SIX4/BMP7/ESRP2/FOXF1/GLI3/AREG/MDK/VDR/SRF/VEGFA/KDM5B/MSX2/TBX2/PAX8/FOXA1/MYCN/LEF1/GREB1L/GPC3/HS3ST3A1/WNT4/NPNT/SEMA3E/SIX2/BCL2/CTNNBIP1/MAGED1/TACSTD2/NRARP/FOXD1";33
"BP";"GO:0072078";"nephron tubule morphogenesis";"20/1961";"78/18496";0,000135477831636132;0,0386762736598004;"1739/51804/2737/2625/7422/3280/7849/80000/2719/9955/54361/255743/153572/10736/596/79191/56998/9500/4070/2297";"DLG1/SIX4/GLI3/GATA3/VEGFA/HES1/PAX8/GREB1L/GPC3/HS3ST3A1/WNT4/NPNT/IRX2/SIX2/BCL2/IRX3/CTNNBIP1/MAGED1/TACSTD2/FOXD1";20
