"NAME";"ORIGINAL SIZE";"AFTER RESTRICTING TO DATASET";"STATUS"
"ADULT_FEEDING_BEHAVIOR (GO:0008343)";10;NA;"Rejected!"
"ADULT_HEART_DEVELOPMENT (GO:0007512)";14;NA;"Rejected!"
"ADULT_LOCOMOTORY_BEHAVIOR (GO:0008344)";85;81;""
"AEROBIC_RESPIRATION (GO:0009060)";198;180;""
"AGGREPHAGY (GO:0035973)";18;17;""
"AGGRESOME_ASSEMBLY (GO:0070842)";6;NA;"Rejected!"
"AGGRESSIVE_BEHAVIOR (GO:0002118)";9;NA;"Rejected!"
"AIM2_INFLAMMASOME_COMPLEX_ASSEMBLY (GO:0140970)";7;NA;"Rejected!"
"ALANINE_METABOLIC_PROCESS (GO:0006522)";5;NA;"Rejected!"
"ALANINE_TRANSPORT (GO:0032328)";18;NA;"Rejected!"
"ALCOHOL_BIOSYNTHETIC_PROCESS (GO:0046165)";150;128;""
"ALCOHOL_CATABOLIC_PROCESS (GO:0046164)";38;28;""
"ALCOHOL_METABOLIC_PROCESS (GO:0006066)";369;312;""
"ALDEHYDE_BIOSYNTHETIC_PROCESS (GO:0046184)";18;16;""
"ALDEHYDE_CATABOLIC_PROCESS (GO:0046185)";14;NA;"Rejected!"
"ALDEHYDE_METABOLIC_PROCESS (GO:0006081)";76;70;""
"ALDITOL_BIOSYNTHETIC_PROCESS (GO:0019401)";5;NA;"Rejected!"
"ALDITOL_CATABOLIC_PROCESS (GO:0019405)";7;NA;"Rejected!"
"ALDITOL_METABOLIC_PROCESS (GO:0019400)";22;18;""
"ALDITOL_PHOSPHATE_METABOLIC_PROCESS (GO:0052646)";10;NA;"Rejected!"
"ALDOSTERONE_SECRETION (GO:0035932)";8;NA;"Rejected!"
"ALKALOID_METABOLIC_PROCESS (GO:0009820)";6;NA;"Rejected!"
"ALKANESULFONATE_METABOLIC_PROCESS (GO:0019694)";10;NA;"Rejected!"
"ALKANESULFONATE_TRANSMEMBRANE_TRANSPORT (GO:0042918)";8;NA;"Rejected!"
"ALLANTOIN_METABOLIC_PROCESS (GO:0000255)";10;NA;"Rejected!"
"ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS (GO:1901607)";55;50;""
"ALPHA_AMINO_ACID_METABOLIC_PROCESS (GO:1901605)";201;178;""
"ALPHA_BETA_T_CELL_ACTIVATION (GO:0046631)";204;168;""
"ALPHA_BETA_T_CELL_DIFFERENTIATION (GO:0046632)";140;121;""
"ALPHA_BETA_T_CELL_PROLIFERATION (GO:0046633)";47;43;""
"ALPHA_KETOGLUTARATE_TRANSPORT (GO:0015742)";7;NA;"Rejected!"
"ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS (GO:0036109)";16;16;""
"ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME (GO:0000380)";78;70;""
"AMACRINE_CELL_DIFFERENTIATION (GO:0035881)";13;NA;"Rejected!"
"AMEBOIDAL_TYPE_CELL_MIGRATION (GO:0001667)";257;236;""
"AMELOBLAST_DIFFERENTIATION (GO:0036305)";8;NA;"Rejected!"
"AMELOGENESIS (GO:0097186)";27;19;""
"AMIDE_BIOSYNTHETIC_PROCESS (GO:0043604)";176;153;""
"AMIDE_CATABOLIC_PROCESS (GO:0043605)";17;17;""
"AMIDE_METABOLIC_PROCESS (GO:0043603)";493;424;""
"AMIDE_TRANSPORT (GO:0042886)";338;299;""
"AMINE_BIOSYNTHETIC_PROCESS (GO:0009309)";42;33;""
"AMINE_CATABOLIC_PROCESS (GO:0009310)";22;15;""
"AMINE_METABOLIC_PROCESS (GO:0009308)";114;93;""
"AMINE_TRANSPORT (GO:0015837)";90;70;""
"AMINOACYL_TRNA_METABOLISM_INVOLVED_IN_TRANSLATIONAL_FIDELITY (GO:0106074)";13;NA;"Rejected!"
